id,date,title,source,judge,type,outlet,article_hint,search_query
5194,2023.11.05,우리나라 수도 인구 비율은 세계 주요국보다 낮은 편이다, <서울은 아직 작다>(박수영 의원 10월 31일 페이스북 게시물)출처: 與 '김포 서울 편입' 입법 추진…성남·구리·하남 등도 거론(연합뉴스 10월 31일 보도),대체로 사실 아님,SKIP,,,
5193,2023.11.03,"액상형 대마는 합법이다
"," 해당 이슈 관련 언론 보도(JTBC, ""액상형 대마는 완전히 합법…홍대 이어 건대서도 '마약 광고'"")",전혀 사실 아님,TYPE_A,JTBC,액상형 대마는 완전히 합법…홍대 이어 건대서도 '마약 광고',액상형 대마는 완전히 합법…홍대 이어 건대서도 '마약 광고'
5192,2023.11.03,"응답자가 편향돼서 한국 매체 신뢰도 조사 결과 뺐다
", 10월 17일 문화체육관광위원회 국정감사,전혀 사실 아님,TYPE_D,,,응답자가 편향돼서 한국 매체 신뢰도 조사 결과 뺐다
5191,2023.11.03,조기 퇴근시키고 임금 삭감하는 ‘알바 꺾기' 법적 문제없다," 인터넷 커뮤니티 게시물(네이트판, 2023년 8월 21일)출처: 인터넷 커뮤니티 게시물(인스티즈, 2023년 10월 23일)",대체로 사실 아님,SKIP,,,
5190,2023.11.02,독일 아우토반에서 속도 제한 있는 구간보다 속도 제한 없는 구간에서 사망자 수가 더 높다, 기사 댓글 ,사실,SKIP,,,
5189,2023.11.02,후쿠시마산 수산물 수입금지에도 젓갈·건포류 등 수산가공물이 수입되었다, [단독]후쿠시마산 수산물 수입금지에도 젓갈·건포류 등 수산가공물 수입 659톤,판단 유보,SKIP,,,
5188,2023.11.02,국내 스타벅스 리프레셔 메뉴에는 실제 과일이 들어있지 않다 ," [뉴스딱] ""비싼 값에도 과일 없는 과일음료""…소송당한 스타벅스",전혀 사실 아님,SKIP,,,
5187,2023.11.02,조중동 신문의 인터넷 기사도 방심위 심의 대상이다, 류희림 방송통신심의위원장 국회 과학기술정보방송통신위원회 국정감사 발언,판단 유보,TYPE_D,,,조중동 신문의 인터넷 기사도 방심위 심의 대상이다
5184,2023.11.01,문재인 정부가 통계자료를 사전에 제공받은 것은 통계법 위반이 아니다, 10월 12일 기획재정위원회 국정감사,대체로 사실 아님,TYPE_D,,,문재인 정부가 통계자료를 사전에 제공받은 것은 통계법 위반이 아니다
5182,2023.11.01,내년부터 인공눈물 가격이 최대 10배 비싸져 4만 원까지 오른다," 서울경제 ""4000원 인공눈물 내년부턴 4만원 되나…'진짜 눈물 날 판'""",전혀 사실 아님,TYPE_A,서울경제,4000원 인공눈물 내년부턴 4만원 되나…'진짜 눈물 날 판',4000원 인공눈물 내년부턴 4만원 되나…'진짜 눈물 날 판'
5181,2023.10.31,학폭위가 끝나서 김승희 전 비서관 자녀에 전학 조치 내릴 수 없다, 임태희 경기도 교육감 국회 교육위원회 국정감사 발언,절반의 사실,TYPE_D,,,학폭위가 끝나서 김승희 전 비서관 자녀에 전학 조치 내릴 수 없다
5180,2023.10.31,10.29 이태원 참사의 진상이 대부분 규명됐다, 유엔 제5차 자유권위원회 한국 정부 대표단 발언,대체로 사실 아님,TYPE_D,,,10.29 이태원 참사의 진상이 대부분 규명됐다
5179,2023.10.27,"평생 투입된 시간당 소득, 개원 의사가 7급 공무원보다 적다 "," '개원의사와 7급공무원의 평생 투입된 시간 당 소득 비교' 인포그래픽출처: 정책현안보고 '세계적으로 일상화된 의사 단체행동' 13~19쪽(2020.1.22.)출처: 데일리메디, 특별기고 '의사 소득이 7급 공무원보다 적은 이유'",전혀 사실 아님,TYPE_B,데일리메디,,"평생 투입된 시간당 소득, 개원 의사가 7급 공무원보다 적다"
5178,2023.10.27,일본이 의대 정원 확대했지만 지역 의료 격차 문제 해결하지 못했다 ," 일본이 던진 교훈...""의사 수 확대, 의료불균형 해소 못 해"" (의학신문, 23/06/30)",사실,TYPE_A,의학신문,"의사 수 확대, 의료불균형 해소 못 해","의사 수 확대, 의료불균형 해소 못 해"
5177,2023.10.24,정치인이 출연한 유튜브 방송에 후원하면 출연한 정치인은 정치자금법 위반이다," 천지일보 ""이준석, 정치자금법 위반 혐의로 선관위 신고당해""출처: 해당 이슈 관련 인터넷 커뮤니티 게시물(디시인사이드, 2023.10.13)",전혀 사실 아님,SKIP,,,
5176,2023.10.24,한국 경제는 세계에서 대외의존도가 가장 높다, 윤석열 대통령의 국무회의 모두발언(2023.10.10),전혀 사실 아님,TYPE_D,,,한국 경제는 세계에서 대외의존도가 가장 높다
5175,2023.10.24,오피스텔 세입자에 특정 통신사 강제 시 직접 처벌 근거 없다," 인터넷 커뮤니티 게시물 (시보드, 2023년 10월 5일)출처: 인터넷 커뮤니티 게시물 (개드립, 2020년 3월 5일)",대체로 사실,SKIP,,,
5174,2023.10.20,"제로(무설탕) 탕후루는 건강에 유해하지 않다
", 언론사 자체 문제제기,대체로 사실 아님,TYPE_C,,,제로(무설탕) 탕후루는 건강에 유해하지 않다
5173,2023.10.20,의대 정원 유지해도 의사는 부족해지지 않는다 , 대한의사협회 <의사인력 추급수계 전문가 포럼> 발표,대체로 사실 아님,TYPE_D,,,의대 정원 유지해도 의사는 부족해지지 않는다
5172,2023.10.20,드라마 및 영화 촬영을 이유로 시민의 통행을 막을 수 있다, 언론사 자체 문제 제기,전혀 사실 아님,TYPE_C,,,드라마 및 영화 촬영을 이유로 시민의 통행을 막을 수 있다
5171,2023.10.19,쉬는 인구와 고령 취업자 증가가 고용지표 호조에 영향을 줬다, 언론사 자체 문제 제기,대체로 사실,TYPE_C,,,쉬는 인구와 고령 취업자 증가가 고용지표 호조에 영향을 줬다
5170,2023.10.20,'의대 정원 확대'에 대한 보수 언론 보도 태도가 3년 전 의사 파업 때와 달라졌다," 클리앙, '의대 정원 확대 3년전과 다른 언론 태도'(2023.10.15.)",대체로 사실,SKIP,,,
5169,2023.10.19,"21대 국회 입법 성과, 전체 국민 여론보다 4050세대 고소득층 여론에 집중됐다", 언론사 자체 문제 제기,대체로 사실,TYPE_C,,,"21대 국회 입법 성과, 전체 국민 여론보다 4050세대 고소득층 여론에 집중됐다"
5168,2023.10.18,"한국 현행법, 정치 신인 선거 운동 제한하고 현역 의원 선거 운동 사실상 4년 내내 지원하는 역할하고 있다", 언론사 자체 문제 제기,사실,TYPE_C,,,"한국 현행법, 정치 신인 선거 운동 제한하고 현역 의원 선거 운동 사실상 4년 내내 지원하는 역할하고 있다"
5167,2023.10.13,하마스가 납치한 이스라엘 어린이를 우리에 가뒀다," 천지일보, ‘팔레스타인 하마스, 이스라엘 군인 납치했다더니 민간인 어린이들 닭장에 가두고 ‘조롱’?… 박살 난 인권'",전혀 사실 아님,TYPE_B,천지일보,,하마스가 납치한 이스라엘 어린이를 우리에 가뒀다
5166,2023.10.17,지난 1년 6개월간 이재명에 대한 압수수색만 376차례에 달했다 ,  2023년 09월 12일 더불어민주당 의원총회(08:16-08:33) ,전혀 사실 아님,TYPE_D,,,지난 1년 6개월간 이재명에 대한 압수수색만 376차례에 달했다
5165,2023.10.18,금융당국의 세수 결손 대처가 제2의 외환위기를 일으킬 수 있다, 다수 언론의 문제 제기,대체로 사실 아님,TYPE_C,,,금융당국의 세수 결손 대처가 제2의 외환위기를 일으킬 수 있다
5164,2023.10.16,5~10년만 버티면 세금 체납 시효가 만료돼 납부 의무가 사라진다," 인터넷 커뮤니티(트위터, 2023년 10월 2일)",대체로 사실,SKIP,,,
5163,2023.10.10,한국 골프장 수는 전 세계 8위다," 인터넷 커뮤니티 게시물(트위터, 2023년 8월 27일)",사실,SKIP,,,
5160,2023.10.11,불법 전단을 배포만 해도 처벌 대상이다, 언론사 자체 문제제기,사실,TYPE_C,,,불법 전단을 배포만 해도 처벌 대상이다
5159,2023.10.10,외국어 메뉴판 규제 가능하다, 언론사 자체 문제 제기,전혀 사실 아님,TYPE_C,,,외국어 메뉴판 규제 가능하다
5158,2023.10.07,"스타벅스 기프티콘 이용 시 해당 금액보다 낮은 금액 음료 구입 후 잔돈을 받을 수 있게 됐다
", 언론사 자체 문제 제기,대체로 사실,TYPE_C,,,스타벅스 기프티콘 이용 시 해당 금액보다 낮은 금액 음료 구입 후 잔돈을 받을 수 있게 됐다
5157,2023.11.02,방사능 검출식품이라도 핵종증명서가 있다면 안전하다," 일본 오염수 방류 관련 일일 브리핑(대한민국 정책브리핑), 9월 29일자",판단 유보,TYPE_B,대한민국 정책브리핑,,방사능 검출식품이라도 핵종증명서가 있다면 안전하다
5156,2023.10.10,"구청장 재직 시절 연 1,000억 원 가량의 예산을 아꼈다", 김태우 후보 유세,대체로 사실,TYPE_D,,,"구청장 재직 시절 연 1,000억 원 가량의 예산을 아꼈다"
5155,2023.10.10,후쿠시마산 수산물로 만든 수산가공품도 국내 수입됐다, 언론사 자체 문제제기,사실,TYPE_C,,,후쿠시마산 수산물로 만든 수산가공품도 국내 수입됐다
5154,2023.10.10,"박원순, 오거돈, 안희정 보궐선거에 1000억 원 가까운 비용이 들었다", 김태우 국민의힘 강서구청장 후보 유세 발언,절반의 사실,TYPE_D,,,"박원순, 오거돈, 안희정 보궐선거에 1000억 원 가까운 비용이 들었다"
5153,2023.10.06,강서구청장 보궐선거 경비는 총 40억이다, 더불어민주당 서면브리핑,사실,TYPE_D,,,강서구청장 보궐선거 경비는 총 40억이다
5152,2023.10.05,일본군 장교 친일행위 판정기준은 독립군 토벌이다 , CBS 김현정의 뉴스쇼 박민식 국가보훈부 장관 출연 영상,대체로 사실 아님,SKIP,,,
5151,2023.10.05,비의원 출신에 비해 의원 출신 인사의 국회 인사청문회 통과 가능성이 더 높다, 언론사 자체 문제 제기,사실,TYPE_C,,,비의원 출신에 비해 의원 출신 인사의 국회 인사청문회 통과 가능성이 더 높다
5150,2023.10.05,약국 의약품이 부족해 약사들끼리 의약품 교품을 진행한다 , SNS 등 온라인 매체 ,대체로 사실,SKIP,,,
5149,2023.10.11,탕후루가 카페 음료보다 당 함유량 적다," 인터넷 커뮤니티 게시물(더쿠, 2023년 9월 17일)출처: 인터넷 커뮤니티 게시물(웃긴대학, 2023년 9월 12일)",대체로 사실,SKIP,,,
5148,2023.10.05,애플은 다른 나라와 달리 한국의 아이폰15 출고가에 변동된 환율을 반영하지 않았다," 인터넷 커뮤니티 게시물(디시인사이드 2023.09.13)출처: 해당 이슈 관련 언론보도(파이낸셜 뉴스 ""아이폰 15 한국서 사면 봉?…환율 고점 때 책정 가격 그대로"")",대체로 사실,SKIP,,,
5147,2023.10.06,구급차 타고 병원 지정해 갈 수 있다," 인터넷 커뮤니티 게시물(인스티즈, 2023년 9월 13일 게시물)출처: 해당 이슈 관련 언론 보도(JTBC ""아이 고열 119 신고…2시간 거리 특정병원 이송 요구한 부모"")",대체로 사실 아님,SKIP,,,
5146,2023.10.06,한국에서 인구가 가장 많은 연령은 61년생이다," 이데일리 ""늙어가는 한국, '1961년생' 최다 인구…서울은 '1993년생'""출처: 제천 뉴스저널 "" 인구통계-국내 연령별 최대 인구는 58년 개띠가 아닌 61년 소띠-100세 이상은 약 9천명""",전혀 사실 아님,TYPE_A,이데일리,"늙어가는 한국, '1961년생' 최다 인구…서울은 '1993년생'""출처: 제천 뉴스저널","늙어가는 한국, '1961년생' 최다 인구…서울은 '1993년생'""출처: 제천 뉴스저널"
5145,2023.10.06,최근 서울의 대규모 아파트 단지 입주로 인해 인근 전셋값이 하락한다, 국토교통부 실거래가 공개시스템의 전세 가격,절반의 사실,SKIP,,,
5144,2023.09.27,회사가 적자와 부채의 늪에 빠져 있어 주식 백지신탁이 불가능했다, 김행 여성가족부 장관 후보자 입장문(9월 19일)출처: 김행 여성가족부 장관 후보자 입장문(9월 20일),전혀 사실 아님,SKIP,,,
5143,2023.09.26,민간인도 '김영란법'에 저촉될 수 있다, 언론사 자체 문제 제기,대체로 사실 아님,TYPE_C,,,민간인도 '김영란법'에 저촉될 수 있다
